,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
10,False,/fHDvGGPFry65ou79WLi6JsjCZrM.jpg,[35],632856,en,Spirited,"Each Christmas Eve, the Ghost of Christmas Present selects one dark soul to be reformed by a visit from three spirits. But this season, he picked the wrong Scrooge. Clint Briggs turns the tables on his ghostly host until Present finds himself reexamining his own past, present and future.",177.102,/h3zAzTMs5EP3cKusOxFNGSFE1WI.jpg,2022-11-10,Spirited,False,7.1,262
11,False,/6tAYyCxF0T5oUIH95zMBC3X3W5T.jpg,"[10751, 14, 12, 18]",668461,en,Slumberland,"A young girl discovers a secret map to the dreamworld of Slumberland, and with the help of an eccentric outlaw, she traverses dreams and flees nightmares, with the hope that she will be able to see her late father again.",372.417,/eCgBLNAFC4XDZ4DiyQ80PIJdSHU.jpg,2022-11-09,Slumberland,False,7.8,422
12,False,/vSvogVWimBiaKx9dVCzirh3u9qS.jpg,"[16, 14, 18]",555604,en,Guillermo del Toro's Pinocchio,"During the rise of fascism in Mussolini's Italy, a wooden boy brought magically to life struggles to live up to his father's expectations.",3298.712,/vx1u0uwxdlhV2MUzj4VlcMB0N6m.jpg,2022-11-09,Guillermo del Toro's Pinocchio,False,8.5,814
13,False,/xDMIl84Qo5Tsu62c9DGWhmPI67A.jpg,"[28, 12, 878]",505642,en,Black Panther: Wakanda Forever,"Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death. As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.",1448.147,/ps2oKfhY6DL3alynlSqY97gHSsg.jpg,2022-11-09,Black Panther: Wakanda Forever,False,7.5,1402
14,False,/gc3sQsA0V8dZZ3Kv89F4Ac3qjzi.jpg,"[9648, 53, 18]",823766,en,The Wonder,"Haunted by her past, a nurse travels from England to a remote Irish village in 1862 to investigate a young girl's supposedly miraculous fast.",106.462,/4dX1LPGuZG0FSoP9y9SyDKLYicy.jpg,2022-11-02,The Wonder,False,6.7,356
15,False,/s5MLcxbdFqvIzTLNLU5yQFFYALR.jpg,"[18, 10749]",744114,en,My Policeman,"In the late 1990s, the arrival of elderly invalid Patrick into Marion and Tom’s home triggers the exploration of seismic events from 40 years previous: the passionate relationship between Tom and Patrick at a time when homosexuality was illegal.",42.466,/wdbiMjXd4CxPfCx4r4Jfy8cGec0.jpg,2022-10-21,My Policeman,False,8.0,354
16,False,/tSxbUnrnWlR5dQvUgqMI7sACmFD.jpg,"[14, 28, 18]",779782,en,The School for Good and Evil,Best friends Sophie and Agatha navigate an enchanted school for young heroes and villains — and find themselves on opposing sides of the battle between good and evil.,229.841,/6oZeEu1GDILdwezmZ5e2xWISf1C.jpg,2022-10-19,The School for Good and Evil,False,7.2,730
17,False,/x2U0R60Z7hmJxZixzsGZfjFJbve.jpg,"[18, 80, 9648]",541134,en,The Good Nurse,"Suspicious that her colleague is responsible for a series of mysterious patient deaths, a nurse risks her own life to uncover the truth.",72.731,/rSq6cq0LCcbro10jbEaPTEb3WmW.jpg,2022-10-19,The Good Nurse,False,7.0,638
18,False,/bQXAqRx2Fgc46uCVWgoPz5L5Dtr.jpg,"[28, 14, 878]",436270,en,Black Adam,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",3874.056,/pFlaoHTZeyNkG83vxsAJiGzfSsa.jpg,2022-10-19,Black Adam,False,7.2,3095
19,False,/jVsbzy5gj3McD8V6dDr7EMrLSqT.jpg,[99],1040330,en,Black Adam: Saviour or Destroyer?,"Ahead of the release of upcoming fantasy film ‘Black Adam’, sit down with Dwayne Johnson as he discusses his starring role as the eponymous superhero.",170.734,/sTuXDWacwdcMS7NNLaynkfVBZkr.jpg,2022-10-15,Black Adam: Saviour or Destroyer?,False,7.1,284
20,False,/cuAUhb0aYQ9PsdU7EN3L2p1d3Ox.jpg,"[12, 35, 27, 10751]",864959,en,The Curse of Bridge Hollow,A Halloween-hating dad reluctantly teams up with his teenage daughter when an evil spirit wreaks havoc by making their town's decorations come to life.,50.784,/t6P9l6tcVnWLS1ADUAfkUCGQhm0.jpg,2022-10-14,The Curse of Bridge Hollow,False,6.8,307
21,False,/aTovumsNlDjof7YVoU5nW2RHaYn.jpg,"[27, 53]",616820,en,Halloween Ends,"Four years after the events of Halloween in 2018, Laurie has decided to liberate herself from fear and rage and embrace life. But when a young man is accused of killing a boy he was babysitting, it ignites a cascade of violence and terror that will force Laurie to finally confront the evil she can’t control, once and for all.",142.99,/yoAKHpveZ4Z1wwwXoD31dXj3H8s.jpg,2022-10-12,Halloween Ends,False,6.5,1030
22,False,/y59qFOlmRKfRKIWzxuzUf0mDc4G.jpg,[27],1024530,en,Grimcutty,A suburban teen girl and her little brother must stop a terrifying internet meme brought to life by the hysteria of their parents.,136.394,/qvg75YJMfbHeDNirUrrgBMQImRn.jpg,2022-10-10,Grimcutty,False,5.5,227
